                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.64057,                0.53699,                 1.0515,                0.75867,                0.68657,                0.73397,                0.49873,                 1.2792,                 1.1786,                 1.6976,              0.0005348,              0.0005348,              0.0005348
                     76,                0.60139,                0.50247,                  1.021,                0.80268,                0.74811,                0.75475,                0.50321,                 1.2766,                 1.1186,                 1.7289,               0.000515,               0.000515,               0.000515
                     77,                0.61512,                 0.5117,                 1.0475,                0.80535,                0.73563,                0.74504,                0.51164,                 1.2731,                 1.1256,                 1.6591,              0.0004952,              0.0004952,              0.0004952
                     78,                0.63148,                0.52063,                 1.0697,                  0.791,                0.77011,                0.76896,                0.50762,                 1.2707,                 1.1023,                 1.6272,              0.0004754,              0.0004754,              0.0004754
                     79,                0.64862,                0.50526,                 1.0624,                 0.7857,                0.75857,                0.75939,                0.51599,                 1.3565,                 1.1286,                  1.745,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.6052,                0.49021,                 1.0349,                0.75074,                0.71264,                0.73864,                0.50536,                 1.2783,                 1.0933,                 1.7411,              0.0004358,              0.0004358,              0.0004358
                     81,                0.59065,                 0.5001,                 1.0258,                0.78999,                0.70115,                0.75182,                0.49795,                  1.285,                 1.0285,                 1.7238,               0.000416,               0.000416,               0.000416
                     82,                 0.5828,                0.49868,                 1.0228,                0.81336,                0.65123,                0.72909,                0.50861,                 1.3213,                0.97253,                 1.7728,              0.0003962,              0.0003962,              0.0003962
                     83,                0.60055,                 0.4891,                 1.0293,                0.86362,                0.58233,                0.73125,                0.50665,                 1.3617,                 1.0329,                 1.8152,              0.0003764,              0.0003764,              0.0003764
                     84,                0.58076,                0.48396,                   1.03,                0.78476,                0.67816,                0.72459,                0.49852,                 1.3038,                 1.1465,                 1.7585,              0.0003566,              0.0003566,              0.0003566
                     85,                0.59735,                0.48323,                 1.0163,                0.74515,                0.68966,                0.72271,                0.50038,                 1.3108,                 1.1264,                 1.7872,              0.0003368,              0.0003368,              0.0003368
                     86,                0.54386,                0.45431,                 1.0014,                0.76304,                0.70326,                0.73575,                0.51993,                 1.2259,                 1.0023,                 1.6761,               0.000317,               0.000317,               0.000317
                     87,                0.58402,                0.50056,                 1.0371,                0.83472,                0.68966,                0.74151,                0.51175,                 1.2411,                 1.0083,                 1.6889,              0.0002972,              0.0002972,              0.0002972
